Query,Clicks,Impressions,CTR,Position
best romantic places in delhi,0,3,0%,30
second biggest waterfall in india,0,3,0%,33.67
best waterfall in india,0,3,0%,34.33
most holy place in india,0,3,0%,35
mirabilia restaurant and bar,0,3,0%,37.33
highest waterfalls in india,0,3,0%,37.67
top ten waterfalls,0,3,0%,39.33
places visit in goa,0,3,0%,42.33
the name of the biggest waterfall in india,0,3,0%,42.33
things to do around arossim beach goa,0,3,0%,43.33
visiting places in uttrakhand,0,3,0%,47.67
punjab restaurant dehradun menu,0,3,0%,49
romantic places near delhi,0,3,0%,49
kalsang dehradun,0,3,0%,54.33
water sport in rishikesh,0,3,0%,54.33
uttarakhand snowfall places,0,3,0%,55.67
o pedro bkc,0,3,0%,58.67
best place to visit in karnataka,0,3,0%,59.67
best places to visit in maharashtra,0,3,0%,65
places to visit near mussoorie,0,3,0%,68.67
camping in uttarakhand,0,3,0%,69.33
places to visit in binsar,0,3,0%,70.67
jammu and kashmir religious places,0,3,0%,71
best romantic places in gurgaon,0,3,0%,73.33
crossroad mall dehradun,0,3,0%,79.33
kashmir tourist attractions,0,3,0%,83
history of forts,0,3,0%,86.67
cliff jump rishikesh,0,3,0%,90.33
top 10 highest mountains,0,3,0%,91
tourist places in indonesia,0,3,0%,91
hong kong picnic spots,0,3,0%,95.33
mughal forts in india,0,2,0%,6
india biggest falls,0,2,0%,7
shiva temple in uttarakhand,0,2,0%,10
top 10 waterfalls of india,0,2,0%,10
most visited religious places in india,0,2,0%,10.5
aptv jamuna setu,0,2,0%,11
himanchal pradesh capital,0,2,0%,11.5
top 10 water falls in india,0,2,0%,12.5
disco skating rink mussoorie,0,2,0%,13
top ten waterfalls in india,0,2,0%,18.5
top 10 forts in india,0,2,0%,20
temples in uttarakhand,0,2,0%,20.5
uttarakhand shiva temple,0,2,0%,20.5
great waterfalls in india,0,2,0%,23
chamoli points of interest,0,2,0%,24.5
waterfall places in india,0,2,0%,24.5
top places in uttarakhand,0,2,0%,25
kevadiya river rafting,0,2,0%,26
skyfall jaipur menu,0,2,0%,26
jaffer bhai delhi darbar marine lines,0,2,0%,27
romantic restaurants in dehradun,0,2,0%,27
best places in jammu and kashmir,0,2,0%,27.5
goa points of interest,0,2,0%,27.5
historical forts in india,0,2,0%,28
list of places to visit in uttarakhand,0,2,0%,29
places in uttrakhand,0,2,0%,29
delhi darbar marine lines,0,2,0%,29.5
10 most beautiful places in uttarakhand,0,2,0%,30
old forts in india,0,2,0%,31
best party places in india,0,2,0%,31.5
largest fort in india,0,2,0%,33
best places to visit in uttarakhand,0,2,0%,33.5
top place to visit in goa,0,2,0%,34
uttarakhand best places to visit in may,0,2,0%,34.5
best tourist places in uttarakhand,0,2,0%,35
bhimlat falls,0,2,0%,35
religious places in india,0,2,0%,35
best hiking backpacks in india,0,2,0%,35.5
best places to go in uttarakhand,0,2,0%,35.5
highest waterfall in kerala,0,2,0%,36
party places in india,0,2,0%,36.5
places to visit in chamba uttarakhand,0,2,0%,37.5
bhimlat falls rajasthan,0,2,0%,39
biggest waterfall of india,0,2,0%,40.5
list of waterfalls in karnataka,0,2,0%,40.5
gopinath temple uttarakhand,0,2,0%,41
top 10 hill stations in uttarakhand,0,2,0%,41
uttrakhand tourist place,0,2,0%,43.5
highest shiva temple in india,0,2,0%,44
place to visit in uttarakhand,0,2,0%,44
best places uttarakhand,0,2,0%,45
top 10 romantic places in india,0,2,0%,45.5
uttarakhand best tourist places,0,2,0%,45.5
tourist spots in jammu and kashmir,0,2,0%,47
hebbe falls best time to visit,0,2,0%,47.5
best visiting places in mussoorie,0,2,0%,49
snowfall places in uttarakhand,0,2,0%,49
waterfalls of karnataka,0,2,0%,50
lal tibba images,0,2,0%,50.5
places to visit in karnataka,0,2,0%,52.5
hotel pathik dehradun,0,2,0%,53
most visited religious sites,0,2,0%,53
best place to celebrate new year in india,0,2,0%,54
budha kedar uttarakhand,0,2,0%,54
places to visit in nainital uttarakhand,0,2,0%,54
uttrakhand tourist places,0,2,0%,55
best place in india to celebrate new year,0,2,0%,56
joury flower,0,2,0%,58
tourist places in jammu and kashmir,0,2,0%,58
uttarakhand camping,0,2,0%,59.5
bar palladio jaipur menu,0,2,0%,63
goa entertainment places,0,2,0%,65
name the highest waterfall in india,0,2,0%,66
places to celebrate new year in india,0,2,0%,66
attractions in uttarakhand,0,2,0%,67
nohsngithiang falls,0,2,0%,67
snowfall in jageshwar,0,2,0%,67.5
annapurna k2,0,2,0%,68
tourist places in goa,0,2,0%,68
mussoorie lal tibba images,0,2,0%,69.5
jamlu devta temple,0,2,0%,70
top 10 places to see in dalhousie,0,2,0%,70.5
cliff jumping in rishikesh height,0,2,0%,72
uttarakhand tourism places,0,2,0%,72
romantic places delhi,0,2,0%,73.5
kerala famous waterfalls,0,2,0%,75.5
best new year party in goa,0,2,0%,77
india nightlife,0,2,0%,77
places to visit in hassan district,0,2,0%,78
10 highest mountains in the world,0,2,0%,78.5
highest peak in india kanchenjunga or k2,0,2,0%,79.5
shamiana taj menu,0,2,0%,80
travel destinations in uttarakhand,0,2,0%,80.5
chakrata hill station uttarakhand,0,2,0%,81
list of waterfalls in goa,0,2,0%,81.5
place to visit in india,0,2,0%,81.5
best waterfalls in kerala,0,2,0%,82
trekking places in uttarakhand,0,2,0%,82.5
yamuna bridge mussoorie,0,2,0%,82.5
baleshwar temple,0,2,0%,83
rajput forts and palaces,0,2,0%,84
10 biggest waterfalls in the world,0,2,0%,86
jharipani falls mussoorie,0,2,0%,88
chirkila dam,0,2,0%,88.5
gopinath temple gopeshwar,0,2,0%,89
places in mussoorie,0,2,0%,92.5
indonesia places to visit,0,2,0%,96.5
famous monuments of karnataka,0,1,0%,3
best waterfalls in south india,0,1,0%,5
karnataka waterfalls in india,0,1,0%,5
waterfalls in south india,0,1,0%,5
important waterfalls in india,0,1,0%,6
india biggest water falls,0,1,0%,6
karnataka water falls in india,0,1,0%,6
rajashthan,0,1,0%,6
what is the highest waterfall in india,0,1,0%,6
best place to visit in jammu,0,1,0%,7
pictures of forts in india,0,1,0%,7
waterfall in south india,0,1,0%,7
waterfall karnataka,0,1,0%,7
himanchal pradesh,0,1,0%,8
mussoorie visiting places,0,1,0%,8
गोवा की सैर,0,1,0%,10
best camping places in uttarakhand,0,1,0%,11
india top 10 waterfalls,0,1,0%,11
shiva temple uttarakhand,0,1,0%,11
highest plunge waterfall in india,0,1,0%,12
top 10 restaurants in dehradun,0,1,0%,17
top 10 fort in india,0,1,0%,18
best waterfall places in india,0,1,0%,19
historical places in jammu and kashmir,0,1,0%,20
assam points of interest,0,1,0%,21
crossroad mall dehradun show timings,0,1,0%,21
places to visit near jammu and kashmir,0,1,0%,21
waterfalls in north india,0,1,0%,23
temples of uttarakhand,0,1,0%,24
uttarakhand tourist places images,0,1,0%,24
places to visit in jammu and kashmir,0,1,0%,25
waterfall in north india,0,1,0%,25
jaffer bhai marine lines,0,1,0%,27
top water falls in india,0,1,0%,27
uttarakhand best tourist place,0,1,0%,27
आईआरसीटीसी पर्यटन,0,1,0%,27
boodha kedar temple,0,1,0%,28
movieslover hub,0,1,0%,28
best places for new year in india,0,1,0%,29
most visited religious place in the world,0,1,0%,29
places visit to goa,0,1,0%,29
the name of the second biggest waterfall in india,0,1,0%,29
top places to visit in uttarakhand,0,1,0%,29
uttarakhand shiva,0,1,0%,29
uttrakhand places to visit,0,1,0%,30
best places in india to celebrate new year,0,1,0%,31
"of the four highest mountains in the world, which was the first to be 
successfully climbed?",0,1,0%,31
places to visit in tungnath,0,1,0%,31
dainikbharat,0,1,0%,32
famous places of jammu and kashmir,0,1,0%,32
places to visit in uttarakhand in june,0,1,0%,32
places to visit near uttarakhand,0,1,0%,32
prez restaurant dehradun,0,1,0%,32
dakshinayan menu,0,1,0%,33
highest shiva temple in the world,0,1,0%,33
india biggest waterfall,0,1,0%,33
kalsang dehradun menu,0,1,0%,33
most visited religious places in the world,0,1,0%,33
ridge road north campus,0,1,0%,33
romantic place in delhi,0,1,0%,33
beautiful waterfalls in india,0,1,0%,34
famous waterfalls in south india,0,1,0%,34
major tourist places in garhwal himalaya,0,1,0%,34
open air restaurants in dehradun,0,1,0%,34
places to visit in winter in uttarakhand,0,1,0%,34
chamoli places to visit,0,1,0%,35
colorbar radisson blu jaipur,0,1,0%,35
jammu and kashmir places to visit,0,1,0%,35
place to visit near uttarakhand,0,1,0%,35
places to visit in goa india,0,1,0%,35
religious places of india,0,1,0%,35
आईआरसीटीसी भारत दर्शन 2019,0,1,0%,35
best waterfalls in karnataka,0,1,0%,36
highest waterfall in india jog falls,0,1,0%,36
historical forts of india,0,1,0%,36
rave party in rishikesh,0,1,0%,36
scenic places in uttarakhand,0,1,0%,36
uttarakhand temples,0,1,0%,37
best forts in india,0,1,0%,38
bijapur points of interest,0,1,0%,38
high altitude places in uttarakhand,0,1,0%,38
highest water falls in india,0,1,0%,38
k2 mountain nicknames,0,1,0%,38
map of jammu and kashmir tourist places,0,1,0%,38
top 10 biggest waterfalls,0,1,0%,38
waterfalls india,0,1,0%,38
places to visit in chamoli,0,1,0%,39
india top water falls,0,1,0%,40
places to visit in uttarakhand in july,0,1,0%,40
religious places to visit in maharashtra,0,1,0%,40
colorbar jaipur,0,1,0%,41
goa sightseeing images,0,1,0%,41
historical places in uttarakhand,0,1,0%,41
places to visit in uttarakhand in may,0,1,0%,41
top 10 highest waterfalls in india,0,1,0%,41
adventure places in uttarakhand,0,1,0%,42
assam beautiful place,0,1,0%,42
beauty of uttrakhand,0,1,0%,42
black pepper dehradun,0,1,0%,42
mukta a2 dehradun,0,1,0%,42
uttarakhand top tourist places,0,1,0%,42
uttarakhand tourist places list,0,1,0%,42
highest shiva temple,0,1,0%,43
places to visit in dhanaulti uttarakhand,0,1,0%,43
top tourist destinations in uttarakhand,0,1,0%,43
uttarakhand shopping,0,1,0%,43
visiting place at goa,0,1,0%,43
famous things to buy in uttarakhand,0,1,0%,44
masque mahalaxmi,0,1,0%,44
places to go in uttarakhand,0,1,0%,44
top 10 places to visit in maharashtra,0,1,0%,44
uttarakhand places to visit in june,0,1,0%,44
uttarakhand temple,0,1,0%,44
best place to visit in new year in india,0,1,0%,45
famous tourist places in uttarakhand,0,1,0%,45
hotel prez dehradun,0,1,0%,45
nice places to visit in goa,0,1,0%,45
place to visit in goa,0,1,0%,45
religious sites in india,0,1,0%,45
top places to see in goa,0,1,0%,45
tourist places in uttarakhand india,0,1,0%,45
uttarakhand tourist places,0,1,0%,45
black pepper restaurant dehradun,0,1,0%,46
karnataka tourist places list distance,0,1,0%,46
marks and spencer dehradun,0,1,0%,46
rishikesh nightlife,0,1,0%,46
romantic places in uttarakhand,0,1,0%,46
top 10 places in karnataka,0,1,0%,46
visiting places in uttarakhand,0,1,0%,46
best bars in jaipur,0,1,0%,47
places to visit goa,0,1,0%,47
crossroad mall dehradun movie,0,1,0%,48
dakshinayan walkeshwar,0,1,0%,48
goa places to visit,0,1,0%,48
how many waterfalls in karnataka,0,1,0%,48
jammu and kashmir sightseeing places,0,1,0%,48
the highest waterfall in india is,0,1,0%,48
uttarakhand tourist point,0,1,0%,48
which is highest waterfall in india,0,1,0%,48
which is the highest water falls in india,0,1,0%,48
best camping places in india,0,1,0%,49
best place in bangalore for new year celebrations,0,1,0%,49
best visiting places in karnataka,0,1,0%,49
places to visit in kumaon uttarakhand,0,1,0%,49
tourists places in uttarakhand,0,1,0%,49
best place uttarakhand,0,1,0%,50
best places in uttarakhand,0,1,0%,50
hotel shubham palani,0,1,0%,50
momentz pacific mall,0,1,0%,50
places to travel in uttarakhand,0,1,0%,50
rishikesh flood 2018,0,1,0%,50
ling's pavilion colaba,0,1,0%,51
places to visit in kashmir,0,1,0%,51
"""repcosta""",0,1,0%,52
goa tourism places to visit,0,1,0%,52
place to visit goa,0,1,0%,52
tourist place in uttarakhand,0,1,0%,52
tourist place in uttrakhand,0,1,0%,52
uttarakhand tourist attractions,0,1,0%,52
goa forts list,0,1,0%,53
top ten places to visit in karnataka,0,1,0%,53
uttarakhand best places,0,1,0%,53
ice lounge saket menu,0,1,0%,54
mussoorie side scene,0,1,0%,54
paragliding in mussoorie cost,0,1,0%,54
places to visit in goa in august,0,1,0%,54
farzi cafe lower parel menu,0,1,0%,55
kempty falls height,0,1,0%,55
ling's pavilion mumbai menu,0,1,0%,55
best pubs in jaipur,0,1,0%,56
hangout places in delhi for couples,0,1,0%,56
kashmir sightseeing places,0,1,0%,56
uttrakhand tourism places,0,1,0%,56
zara pentagon mall,0,1,0%,56
delhi romantic places,0,1,0%,57
things you can do in rishikeh,0,1,0%,57
uttarakhand trekking spots,0,1,0%,57
"ice lounge, saket",0,1,0%,58
karnataka places to visit,0,1,0%,58
nightlife in india,0,1,0%,58
the biggest waterfall in india,0,1,0%,58
top destinations in uttarakhand,0,1,0%,58
uttarakhand tourist place,0,1,0%,58
what is the name of the biggest waterfall in india,0,1,0%,58
10 best places to visit in uttarakhand,0,1,0%,59
best waterfall in kerala,0,1,0%,59
delhi romantic place,0,1,0%,59
shiva temples,0,1,0%,59
tourist place near uttarakhand,0,1,0%,59
dakshinayan mumbai,0,1,0%,60
india's most expensive hotel,0,1,0%,60
most romantic place in delhi,0,1,0%,60
places to visit chakrata,0,1,0%,60
religious places,0,1,0%,60
things to do in musoorie,0,1,0%,60
goa tourist places,0,1,0%,61
how to visit uttarakhand,0,1,0%,61
"list some things you could wear that would enable you to be comfortable 
when riding",0,1,0%,61
beauty of uttarakhand,0,1,0%,62
best nightlife in india,0,1,0%,62
india waterfall,0,1,0%,62
places to visit in dhanaulti,0,1,0%,62
tourist places in erode,0,1,0%,62
uttarakhand attractions,0,1,0%,62
world highest shiva temple,0,1,0%,62
tourist places in north goa,0,1,0%,63
uttarakhand lifestyle,0,1,0%,63
best places to visit at goa,0,1,0%,64
dehradun shopping mall,0,1,0%,64
highest waterfall in the india,0,1,0%,64
places near delhi for couples,0,1,0%,64
राष्ट्रीय फिल्म पुरस्कार 2019,0,1,0%,64
things to do in mussoorie,0,1,0%,65
visiting place in masuri,0,1,0%,65
best camping places near mumbai,0,1,0%,66
rishikesh visiting place,0,1,0%,66
all forts in india,0,1,0%,67
ultralamina 15,0,1,0%,67
falls of india,0,1,0%,68
guchu paani,0,1,0%,68
party places in bangalore,0,1,0%,69
rajasthan points of interest,0,1,0%,69
bhimtal waterfall,0,1,0%,70
jammu tour places,0,1,0%,70
waterfall india,0,1,0%,70
what to do in mussoorie,0,1,0%,70
baleshwar mahadev,0,1,0%,71
falls in india,0,1,0%,71
india highest waterfall,0,1,0%,71
indonesia visit places,0,1,0%,71
jaipur bars,0,1,0%,71
rafting in mussoorie,0,1,0%,71
where is k2 situated,0,1,0%,71
biggest waterfall in kerala,0,1,0%,72
jageshwar snowfall time,0,1,0%,72
beautiful place of assam,0,1,0%,73
best things to do in mussoorie,0,1,0%,73
dhanaulti visiting places,0,1,0%,73
nightlife in rishikesh,0,1,0%,73
rishikesh flood,0,1,0%,73
romantic places in india,0,1,0%,73
highland heritage in alto de porvorim,0,1,0%,74
jog waterfall in karnataka,0,1,0%,74
jwalaji temple mussoorie,0,1,0%,74
places to visit in bir billing,0,1,0%,74
top things to do in rishikesh,0,1,0%,74
places to visit at indonesia,0,1,0%,75
sphenisciform,0,1,0%,75
the forts of india,0,1,0%,75
adventure sports in mussoorie,0,1,0%,76
all waterfalls in india,0,1,0%,76
is k2 the highest mountain in the world,0,1,0%,76
mumbai top 10 places,0,1,0%,76
top 10 places in mysore,0,1,0%,76
cho oyu death rate,0,1,0%,77
famous places in karnataka,0,1,0%,77
gucchu pani dehradun,0,1,0%,77
mussoorie things to buy,0,1,0%,77
famous waterfall of goa on mandovi river,0,1,0%,78
merrell replacement bungee laces,0,1,0%,78
most visited places in goa,0,1,0%,78
traveller water purifier,0,1,0%,78
10 biggest waterfalls,0,1,0%,79
bhramari devi temple,0,1,0%,79
kadapa tourist places,0,1,0%,79
largest waterfalls in india,0,1,0%,79
places to go on valentine's day in delhi,0,1,0%,79
top 10 waterfalls in world,0,1,0%,79
uttarakhand tourism place,0,1,0%,79
which is the fourth highest mountain in the world?,0,1,0%,79
gaming zone in pacific mall,0,1,0%,80
goa best places,0,1,0%,81
kerala top 10 places to visit,0,1,0%,81
ice lounge delhi,0,1,0%,82
places to visit near basara,0,1,0%,82
2nd highest peak in the world,0,1,0%,83
darwa top,0,1,0%,83
jamlu devta,0,1,0%,83
largest shiva temple,0,1,0%,83
waterfall in himachal,0,1,0%,83
best place for date in delhi,0,1,0%,84
bhimtal places to visit,0,1,0%,84
best new year celebration in india,0,1,0%,85
bar palladio,0,1,0%,86
how to reach govind pashu vihar national park and sanctuary,0,1,0%,86
k2 height from sea level,0,1,0%,86
list of forts in india,0,1,0%,86
nachiketa tal uttarakhand,0,1,0%,86
tourist spots in goa,0,1,0%,86
kanoor fort,0,1,0%,87
top 10 treks in india,0,1,0%,87
best things to buy in rishikesh,0,1,0%,88
jakarta uttarakhand,0,1,0%,88
k2 height in meters,0,1,0%,88
ten highest mountains in the world,0,1,0%,88
uttarakhand tourist,0,1,0%,88
best romantic places in india,0,1,0%,89
himalaya shiva temple,0,1,0%,89
party places in goa,0,1,0%,89
baijnath temple bageshwar,0,1,0%,90
best places to visit in indonesia,0,1,0%,91
height of mussoorie in feet,0,1,0%,92
tallest waterfall in india,0,1,0%,92
water sports in rishikesh,0,1,0%,92
biggest fort in rajasthan,0,1,0%,93
govind pashu vihar national park and sanctuary,0,1,0%,93
tungnath shiva temple,0,1,0%,93
uttrakhand beauty,0,1,0%,93
clouds end mussoorie,0,1,0%,94
goa india attractions,0,1,0%,94
largest city of jammu and kashmir,0,1,0%,94
list of mountains over 8000 meters,0,1,0%,94
baijnath mahadev temple,0,1,0%,95
best fort in goa,0,1,0%,95
mehrangarh fort inside,0,1,0%,97
10 waterfalls,0,1,0%,98
garden for couples in delhi,0,1,0%,98
tallest waterfalls in india,0,1,0%,98
best camping place in rishikesh,0,1,0%,100
is bungee jumping safe in rishikesh,0,1,0%,100
maharashtra tourist places,0,1,0%,100
biosphere reserves in uttarakhand,0,1,0%,103
best forts in rajasthan,0,1,0%,108
